Author;Country
Chinua Achebe;Nigeria
Hans Christian Andersen;Denmark
Dante Alighieri;Italy
Unknown;Sumer and Akkadian Empire
Unknown;Achaemenid Empire
Unknown;India/Iran/Iraq/Egypt/Tajikistan
Unknown;Iceland
Jane Austen;United Kingdom
Honoré de Balzac;France
Samuel Beckett;Republic of Ireland
Giovanni Boccaccio;Italy
Jorge Luis Borges;Argentina
Emily Brontë;United Kingdom
Albert Camus;Algeria, French Empire
Paul Celan;Romania, France
Louis-Ferdinand Céline;France
Miguel de Cervantes;Spain
Geoffrey Chaucer;England
Anton Chekhov;Russia
Joseph Conrad;United Kingdom
Charles Dickens;United Kingdom
Denis Diderot;France
Alfred Döblin;Germany
Fyodor Dostoevsky;Russia
Fyodor Dostoevsky;Russia
Fyodor Dostoevsky;Russia
Fyodor Dostoevsky;Russia
George Eliot;United Kingdom
Ralph Ellison;United States
Euripides;Greece
William Faulkner;United States
William Faulkner;United States
Gustave Flaubert;France
Gustave Flaubert;France
Federico García Lorca;Spain
Gabriel García Márquez;Colombia
Gabriel García Márquez;Colombia
Johann Wolfgang von Goethe;Saxe-Weimar
Nikolai Gogol;Russia
Günter Grass;Germany
João Guimarães Rosa;Brazil
Knut Hamsun;Norway
Ernest Hemingway;United States
Homer;Greece
Homer;Greece
Henrik Ibsen;Norway
James Joyce;Irish Free State
Franz Kafka;Czechoslovakia
Franz Kafka;Czechoslovakia
Franz Kafka;Czechoslovakia
Kālidāsa;India
Yasunari Kawabata;Japan
Nikos Kazantzakis;Greece
D. H. Lawrence;United Kingdom
Halldór Laxness;Iceland
Giacomo Leopardi;Italy
Doris Lessing;United Kingdom
Astrid Lindgren;Sweden
Lu Xun;China
Naguib Mahfouz;Egypt
Thomas Mann;Germany
Thomas Mann;Germany
Herman Melville;United States
Michel de Montaigne;France
Elsa Morante;Italy
Toni Morrison;United States
Murasaki Shikibu;Japan
Robert Musil;Austria
Vladimir Nabokov;Russia/United States
George Orwell;United Kingdom
Ovid;Roman Empire
Fernando Pessoa;Portugal
Edgar Allan Poe;United States
Marcel Proust;France
François Rabelais;France
Juan Rulfo;Mexico
Rumi;Sultanate of Rum
Salman Rushdie;United Kingdom, India
Saadi;Persia, Persian Empire
Tayeb Salih;Sudan
José Saramago;Portugal
William Shakespeare;England
William Shakespeare;England
William Shakespeare;England
Sophocles;Greece
Stendhal;France
Laurence Sterne;England
Italo Svevo;Italy
Jonathan Swift;Ireland
Leo Tolstoy;Russia
Leo Tolstoy;Russia
Leo Tolstoy;Russia
Mark Twain;United States
Valmiki;India
Virgil;Roman Empire
Vyasa;India
Walt Whitman;United States
Virginia Woolf;United Kingdom
Virginia Woolf;United Kingdom
Marguerite Yourcenar;France/Belgium
