Title;auth_name;Year;Language;images
Things Fall Apart;Chinua Achebe;1958;English;things-fall-apart.jpg
Fairy tales;Hans Christian Andersen;1836;Danish;fairy-tales.jpg
The Divine Comedy;Dante Alighieri;1315;Italian;the-divine-comedy.jpg
The Epic Of Gilgamesh;Unknown;-1700;Akkadian;the-epic-of-gilgamesh.jpg
The Book Of Job;Unknown;-600;Hebrew;the-book-of-job.jpg
One Thousand and One Nights;Unknown;1200;Arabic;one-thousand-and-one-nights.jpg
Njál's Saga;Unknown;1350;Old Norse;njals-saga.jpg
Pride and Prejudice;Jane Austen;1813;English;pride-and-prejudice.jpg
Le Père Goriot;Honoré de Balzac;1835;French;le-pere-goriot.jpg
Molloy, Malone Dies, The Unnamable, the trilogy;Samuel Beckett;1952;French, English;molloy-malone-dies-the-unnamable.jpg
The Decameron;Giovanni Boccaccio;1351;Italian;the-decameron.jpg
Ficciones;Jorge Luis Borges;1965;Spanish;ficciones.jpg
Wuthering Heights;Emily Brontë;1847;English;wuthering-heights.jpg
The Stranger;Albert Camus;1942;French;l-etranger.jpg
Poems;Paul Celan;1952;German;poems-paul-celan.jpg
Journey to the End of the Night;Louis-Ferdinand Céline;1932;French;voyage-au-bout-de-la-nuit.jpg
Don Quijote De La Mancha;Miguel de Cervantes;1610;Spanish;don-quijote-de-la-mancha.jpg
The Canterbury Tales;Geoffrey Chaucer;1450;English;the-canterbury-tales.jpg
Stories;Anton Chekhov;1886;Russian;stories-of-anton-chekhov.jpg
Nostromo;Joseph Conrad;1904;English;nostromo.jpg
Great Expectations;Charles Dickens;1861;English;great-expectations.jpg
Jacques the Fatalist;Denis Diderot;1796;French;jacques-the-fatalist.jpg
Berlin Alexanderplatz;Alfred Döblin;1929;German;berlin-alexanderplatz.jpg
Crime and Punishment;Fyodor Dostoevsky;1866;Russian;crime-and-punishment.jpg
The Idiot;Fyodor Dostoevsky;1869;Russian;the-idiot.jpg
The Possessed;Fyodor Dostoevsky;1872;Russian;the-possessed.jpg
The Brothers Karamazov;Fyodor Dostoevsky;1880;Russian;the-brothers-karamazov.jpg
Middlemarch;George Eliot;1871;English;middlemarch.jpg
Invisible Man;Ralph Ellison;1952;English;invisible-man.jpg
Medea;Euripides;-431;Greek;medea.jpg
Absalom, Absalom!;William Faulkner;1936;English;absalom-absalom.jpg
The Sound and the Fury;William Faulkner;1929;English;the-sound-and-the-fury.jpg
Madame Bovary;Gustave Flaubert;1857;French;madame-bovary.jpg
Sentimental Education;Gustave Flaubert;1869;French;l-education-sentimentale.jpg
Gypsy Ballads;Federico García Lorca;1928;Spanish;gypsy-ballads.jpg
One Hundred Years of Solitude;Gabriel García Márquez;1967;Spanish;one-hundred-years-of-solitude.jpg
Love in the Time of Cholera;Gabriel García Márquez;1985;Spanish;love-in-the-time-of-cholera.jpg
Faust;Johann Wolfgang von Goethe;1832;German;faust.jpg
Dead Souls;Nikolai Gogol;1842;Russian;dead-souls.jpg
The Tin Drum;Günter Grass;1959;German;the-tin-drum.jpg
The Devil to Pay in the Backlands;João Guimarães Rosa;1956;Portuguese;the-devil-to-pay-in-the-backlands.jpg
Hunger;Knut Hamsun;1890;Norwegian;hunger.jpg
The Old Man and the Sea;Ernest Hemingway;1952;English;the-old-man-and-the-sea.jpg
Iliad;Homer;-735;Greek;the-iliad-of-homer.jpg
Odyssey;Homer;-800;Greek;the-odyssey-of-homer.jpg
A Doll's House;Henrik Ibsen;1879;Norwegian;a-Dolls-house.jpg
Ulysses;James Joyce;1922;English;ulysses.jpg
Stories;Franz Kafka;1924;German;stories-of-franz-kafka.jpg
The Trial;Franz Kafka;1925;German;the-trial.jpg
The Castle;Franz Kafka;1926;German;the-castle.jpg
The recognition of Shakuntala;Kālidāsa;150;Sanskrit;the-recognition-of-shakuntala.jpg
The Sound of the Mountain;Yasunari Kawabata;1954;Japanese;the-sound-of-the-mountain.jpg
Zorba the Greek;Nikos Kazantzakis;1946;Greek;zorba-the-greek.jpg
Sons and Lovers;D. H. Lawrence;1913;English;sons-and-lovers.jpg
Independent People;Halldór Laxness;1934;Icelandic;independent-people.jpg
Poems;Giacomo Leopardi;1818;Italian;poems-giacomo-leopardi.jpg
The Golden Notebook;Doris Lessing;1962;English;the-golden-notebook.jpg
Pippi Longstocking;Astrid Lindgren;1945;Swedish;pippi-longstocking.jpg
Diary of a Madman;Lu Xun;1918;Chinese;diary-of-a-madman.jpg
Children of Gebelawi;Naguib Mahfouz;1959;Arabic;children-of-gebelawi.jpg
Buddenbrooks;Thomas Mann;1901;German;buddenbrooks.jpg
The Magic Mountain;Thomas Mann;1924;German;the-magic-mountain.jpg
Moby Dick;Herman Melville;1851;English;moby-dick.jpg
Essays;Michel de Montaigne;1595;French;essais.jpg
History;Elsa Morante;1974;Italian;history.jpg
Beloved;Toni Morrison;1987;English;beloved.jpg
The Tale of Genji;Murasaki Shikibu;1006;Japanese;the-tale-of-genji.jpg
The Man Without Qualities;Robert Musil;1931;German;the-man-without-qualities.jpg
Lolita;Vladimir Nabokov;1955;English;lolita.jpg
Nineteen Eighty-Four;George Orwell;1949;English;nineteen-eighty-four.jpg
Metamorphoses;Ovid;100;Classical Latin;the-metamorphoses-of-ovid.jpg
The Book of Disquiet;Fernando Pessoa;1928;Portuguese;the-book-of-disquiet.jpg
Tales;Edgar Allan Poe;1950;English;tales-and-poems-of-edgar-allan-poe.jpg
In Search of Lost Time;Marcel Proust;1920;French;a-la-recherche-du-temps-perdu.jpg
Gargantua and Pantagruel;François Rabelais;1533;French;gargantua-and-pantagruel.jpg
Pedro Páramo;Juan Rulfo;1955;Spanish;pedro-paramo.jpg
The Masnavi;Rumi;1236;Persian;the-masnavi.jpg
Midnight's Children;Salman Rushdie;1981;English;midnights-children.jpg
Bostan;Saadi;1257;Persian;bostan.jpg
Season of Migration to the North;Tayeb Salih;1966;Arabic;season-of-migration-to-the-north.jpg
Blindness;José Saramago;1995;Portuguese;blindness.jpg
Hamlet;William Shakespeare;1603;English;hamlet.jpg
King Lear;William Shakespeare;1608;English;king-lear.jpg
Othello;William Shakespeare;1609;English;othello.jpg
Oedipus the King;Sophocles;-430;Greek;oedipus-the-king.jpg
The Red and the Black;Stendhal;1830;French;le-rouge-et-le-noir.jpg
The Life And Opinions of Tristram Shandy;Laurence Sterne;1760;English;the-life-and-opinions-of-tristram-shandy.jpg
Confessions of Zeno;Italo Svevo;1923;Italian;confessions-of-zeno.jpg
Gulliver's Travels;Jonathan Swift;1726;English;gullivers-travels.jpg
War and Peace;Leo Tolstoy;1867;Russian;war-and-peace.jpg
Anna Karenina;Leo Tolstoy;1877;Russian;anna-karenina.jpg
The Death of Ivan Ilyich;Leo Tolstoy;1886;Russian;the-death-of-ivan-ilyich.jpg
The Adventures of Huckleberry Finn;Mark Twain;1884;English;the-adventures-of-huckleberry-finn.jpg
Ramayana;Valmiki;-450;Sanskrit;ramayana.jpg
The Aeneid;Virgil;-23;Classical Latin;the-aeneid.jpg
Mahabharata;Vyasa;-700;Sanskrit;the-mahab-harata.jpg
Leaves of Grass;Walt Whitman;1855;English;leaves-of-grass.jpg
Mrs Dalloway;Virginia Woolf;1925;English;mrs-dalloway.jpg
To the Lighthouse;Virginia Woolf;1927;English;to-the-lighthouse.jpg
Memoirs of Hadrian;Marguerite Yourcenar;1951;French;memoirs-of-hadrian.jpg
